iter	Logloss
0	0.6811392762
1	0.6726976704
2	0.6647405749
3	0.6589339195
4	0.6511819251
5	0.6445829733
6	0.6372168587
7	0.6337906334
8	0.6289856662
9	0.6231411079
10	0.6181823896
11	0.6138610523
12	0.6095180663
13	0.6067657608
14	0.6024692264
15	0.5995545765
16	0.596622384
17	0.5945306117
18	0.5926461889
19	0.5886243708
20	0.5854719097
21	0.5833202419
22	0.581525266
23	0.5793679276
24	0.5763846786
25	0.5740184919
26	0.5721848265
27	0.5704000116
28	0.5681676041
29	0.5663125319
30	0.5650986945
31	0.5637309386
32	0.5612204339
33	0.559222338
34	0.5582966918
35	0.5570621542
36	0.5549693397
37	0.5531465531
38	0.5515287545
39	0.5502174158
40	0.54938071
41	0.5475814144
42	0.5462929259
43	0.5452551011
44	0.5441778918
45	0.5431223144
46	0.5419501366
47	0.5407262502
48	0.5390527212
49	0.5377573854
50	0.5366226293
51	0.5351531298
52	0.5343487505
53	0.5334255931
54	0.532540371
55	0.5310004074
56	0.529878058
57	0.5283891719
58	0.5276332852
59	0.5266015549
60	0.5253485284
61	0.5243150448
62	0.5235314262
63	0.5227161105
64	0.520889515
65	0.5203691283
66	0.5195037845
67	0.5180023475
68	0.5169665375
69	0.5152914493
70	0.5136761584
71	0.512557334
72	0.5114758878
73	0.510454612
74	0.5097614951
75	0.5090687383
76	0.5086038244
77	0.5080629204
78	0.5074799175
79	0.5068118919
80	0.5060353731
81	0.5041391287
82	0.5024796684
83	0.5011930746
84	0.500384146
85	0.4995441513
86	0.498450645
87	0.4975049341
88	0.4967726651
89	0.4957089832
90	0.4949959226
91	0.4933647461
92	0.4926262107
93	0.4918665484
94	0.4910757941
95	0.4900577087
96	0.4891459475
97	0.4888926643
98	0.4882425543
99	0.4870812799
100	0.4861550194
101	0.4856573834
102	0.4844717441
103	0.4836353935
104	0.4829906453
105	0.4821959154
106	0.4811097851
107	0.4801531994
108	0.4794805044
109	0.4785536169
110	0.4778847946
111	0.476968364
112	0.4762996238
113	0.4759195733
114	0.4755295564
115	0.475056231
116	0.4748329151
117	0.4736349381
118	0.4731365974
119	0.4729073442
120	0.471987064
121	0.470978762
122	0.469974096
123	0.4694061618
124	0.4685867707
125	0.4673148672
126	0.4667626579
127	0.4666147597
128	0.4657550386
129	0.465203275
130	0.4644306992
131	0.4636802428
132	0.4631299576
133	0.4626808133
134	0.4622565797
135	0.4618925775
136	0.4611094195
137	0.4591788111
138	0.458243091
139	0.4575084815
140	0.4566263772
141	0.455629147
142	0.4545314657
143	0.4538461465
144	0.4527289809
145	0.451805446
146	0.4506495988
147	0.4495761088
148	0.4491081317
149	0.4481259597
150	0.4150	0.4451151	0.4467977241
152	0.4455116054
153	0.4449246356
154	0.4445032802
155	0.4435352054
156	0.4429086125
157	0.4421166271
158	0.4414870551
159	0.4411929335
160	0.4404366582
161	0.4395107398
162	0.4389200032
163	0.4379829009
164	0.4367803007
165	0.4361933401
166	0.4354862613
167	0.4343258282
168	0.4335567926
169	0.4330339333
170	0.4324364821
171	0.4319843058
172	0.4307390561
173	0.4295412313
174	0.4290046315
175	0.4282615846
176	0.4275711539
177	0.4260028096
178	0.4253781358
179	0.4244282544
180	0.4230821611
181	0.4219316177
182	0.4210620262
183	0.420492449
184	0.4192735222
185	0.4183644626
186	0.4174746659
187	0.416508125
188	0.415642477
189	0.4150621339
190	0.4140530586
191	0.412396501
192	0.4116987241
193	0.4107247036
194	0.4102450539
195	0.4093961426
196	0.4083627631
197	0.4072899652
198	0.4067849147
199	0.4057654472
200	0.4052031297
201	0.4046379891
202	0.4037931865
203	0.4028840778
204	0.4017246006
205	0.4010148799
206	0.4000641793
207	0.3991847983
208	0.3983924577
209	0.3977726465
210	0.3968560698
211	0.3961110004
212	0.3952059705
213	0.394506327
214	0.393276294
215	0.3919183912
216	0.3911534203
217	0.3906280551
218	0.3900171903
219	0.3891433454
220	0.3883900021
221	0.387814252
222	0.3867014789
223	0.3858310538
224	0.385043583
225	0.3842063436
226	0.3833327078
227	0.3826360735
228	0.381548007
229	0.3805122479
230	0.3794675689
231	0.3781812227
232	0.3775380679
233	0.3766584405
234	0.3756953464
235	0.3750811731
236	0.3741586931
237	0.3730882465
238	0.3723900618
239	0.3718980598
240	0.3712181612
241	0.370566276
242	0.3698779683
243	0.3689824496
244	0.3682315848
245	0.3678272969
246	0.3674057898
247	0.3667920733
248	0.3657227473
249	0.3651109436
250	0.3643895612
251	0.3634184131
252	0.3631065268
253	0.3623868796
254	0.3616457902
255	0.3612379459
256	0.3604166965
257	0.3595795836
258	0.3586849408
259	0.357789221
260	0.3572217934
261	0.3563834214
262	0.3547357229
263	0.3541857205
264	0.3534562861
265	0.3523131991
266	0.3515010175
267	0.350232019
268	0.3493939473
269	0.3485641828
270	0.3477621251
271	0.3472393571
272	0.3467448944
273	0.3460644035
274	0.3453228372
275	0.3446076662
276	0.343868743
277	0.3424927931
278	0.3410645181
279	0.3404340491
280	280	0.3368806281	281	0.3366682282	282	0.335972283	0283	0.334989284	0284	0.334080285	285	0.3330733286	286	0.3318642287	287	0.3311292288	288	0.3302360289	289	0.3294233290	290	0.3288426291	291	0.3284292	0.3292	0.3277293	0.3293	0.3271294	0.3294	0.3264295	0.3295	0.3258296	0.3296	0.3248297	0.3297	0.323298	0.32298	0.323299	0.32299	0.322300	0.32300	0.322301	0.32301	0.321302	0.32302	0.321303	0.32303	0.320304	0.32304	0.320305	0.32305	0.319306	0.32306	0.319307	0.32307	0.31308	0.321308	0.31309	0.321309	0.31310	0.320310	0.31311	0.320311	0.31312	0.319312	0.31313	0.319313	0.31314	0.318314	0.31315	0.31315	0.314316	0.31316	0.31317	0.317317	0.31318	0.316318	0.31319	0.315319	0.3320	0.3147320	0.3321	0.3145321	0.3105417731
322	0.3323	0.3132323	0.3094054205
324	0.3089193255
325	0.308654573
326	0.308162789
327	0.3076000181
328	0.3072659005
329	0.3067233783
330	0.3063803376
331	0.3059301357
332	0.3054028045
333	0.3049953155
334	0.3042197518
335	0.3037563212
336	0.3029142966
337	0.3021364871
338	0.3018585624
339	0.3010872273
340	0.3005221965
341	0.2999890461
342	0.2993319953
343	0.2987656687
344	0.2983788339
345	0.2981378532
346	0.2973932776
347	0.2967010345
348	0.2960841526
349	0.2955265702
350	0.2948885257
351	0.2943118656
352	0.2936802148
353	0.2926127433
354	0.2921073793
355	0.2915688427
356	0.2908500235
357	0.290268436
358	0.2899102278
359	0.2894755366
360	0.2890421344
361	0.2882920369
362	0.2876330925
363	0.2870475395
364	0.2863958342
365	0.2856266153
366	0.2853022012
367	0.2849694285
368	0.2843453859
369	0.2836407626
370	0.2831731291
371	0.2826967197
372	0.2824649274
373	0.2821323182
374	0.2812969798
375	0.2805507527
376	0.2802299923
377	0.2796893573
378	0.2792076117
379	0.2786787058
380	0.2781331014
381	0.2776249865
382	0.2772303822
383	0.2768550542
384	0.2764301927
385	0.2761809319
386	0.2759273241
387	0.2754118566
388	0.2749409596
389	0.2743047076
390	0.2740080826
391	0.2735753161
392	0.2731634363
393	0.2721710911
394	0.2718523284
395	0.2716148297
396	0.2710624397
397	0.2703224686
398	0.2698931239
399	0.269261205
400	0.2687199924
401	0.2682539784
402	0.2675508898
403	0.2672532076
404	0.2670024712
405	0.2662748535
406	0.2657078312
407	0.2652543846
408	0.2646377926
409	0.2641791619
410	0.2636141442
411	0.2632269025
412	0.2625871046
413	0.2621637776
414	0.2616106395
415	0.2608012245
416	0.2604060804
417	0.2599303904
418	0.2592651245
419	0.2589947334
420	0.2585130303
421	0.2579668634
422	0.2577465475
423	0.2574306482
424	0.2569219555
425	0.2562051291
426	0.2556445115
427	0.2551403419
428	0.2548406521
429	0.2543965911
430	0.2539594014
431	0.253521959
432	0.2531272882
433	0.252947267
434	0.252529994
435	0.2523552013
436	0.2516615237
437	0.2509438618
438	0.2505664548
439	0.2499177012
440	0.2493988601
441	0.2490657701
442	0.2485190624
443	0.2480741661
444	0.2474689295
445	0.2472388802
446	0.2464096315
447	0.2460408539
448	0.2454902664
449	0.2450658363
450	0.2445209041
451	0.2439150866
452	0.243593963
453	0.2431919296
454	0.2429200216
455	0.2424557358
456	0.2415923135
457	0.2413239957
458	0.2408621645
459	0.2403418927
460	0.2398007998
461	0.2394464179
462	0.2392358118
463	0.2390316155
464	0.2388019009
465	0.2383753792
466	0.2377208526
467	0.2374282958
468	0.2369098417
469	0.236514457
470	0.2360370645
471	0.2357278847
472	0.2355364893
473	0.2350825253
474	0.2346770246
475	0.2342812623
476	0.23362566
477	0.233185155
478	0.2329195744
479	0.2326226821
480	0.232049002
481	0.2317985944
482	0.2314524608
483	0.2311506787
484	0.2307301216
485	0.2303307621
486	0.2300884483
487	0.2295963498
488	0.2294384908
489	0.2291043175
490	0.2288124603
491	0.2285946212
492	0.2281885624
493	0.2278993791
494	0.2272214999
495	0.2268090708
496	0.2264428502
497	0.2262907458
498	0.2258037393
499	0.2254468715
